variety_id,synonym,context
grenache-noir,Garnacha,Spain
grenache-noir,Cannonau,Sardinia
mourvedre,Monastrell,Spain
mourvedre,Mataro,Australia/US
carignan,Carinena,Spain
carignan,Mazuelo,Rioja
carignan,Samso,Catalonia
ugni-blanc,Trebbiano Toscano,Italy
malbec,Cot,France
malbec,Auxerrois,Cahors
tempranillo,Tinta Roriz,Portugal
tempranillo,Aragonez,Portugal
tempranillo,Tinto Fino,Ribera del Duero
primitivo,Zinfandel,USA
primitivo,Tribidrag,Croatia
primitivo,Crljenak Kastelanski,Croatia
blaufrankisch,Lemberger,Germany
blaufrankisch,Kekfrankos,Hungary
gewurztraminer,Traminer,general
savagnin,Traminer,Jura
albarino,Alvarinho,Portugal
macabeo,Viura,Rioja
welschriesling,Grasevina,Croatia
welschriesling,Olaszrizling,Hungary
syrah,Shiraz,Australia
pinot-gris,Grauburgunder,Germany
pinot-gris,Pinot grigio,Italy
pinot-noir,Spatburgunder,Germany
muller-thurgau,Rivaner,general
khndoghni,Sireni,Armenia
schiava,Vernatsch,Alto Adige
friulano,Sauvignonasse,general
